"id","parent_id","name","data"
"4443","4441","Pants & Capris","{""id"":""4443"",""ordinal"":""1"",""name"":""Pants & Capris"",""display_name"":"""",""created_at"":""2019-05-07 11:11:35"",""updated_at"":""2019-06-04 17:18:37"",""code"":""apparel & footwear > unisex > kids > apparel > pants & capris"",""parent_id"":""4441"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > unisex > kids > apparel"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""4393"",""level3"":""4396"",""level4"":""4441"",""level5"":""4443"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4452","4442","Boots","{""id"":""4452"",""ordinal"":""1"",""name"":""Boots"",""display_name"":"""",""created_at"":""2019-05-07 11:24:56"",""updated_at"":""2019-06-04 17:18:37"",""code"":""apparel & footwear > unisex > kids > footwear > boots"",""parent_id"":""4442"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > unisex > kids > footwear"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""4393"",""level3"":""4396"",""level4"":""4442"",""level5"":""4452"",""level6"":"""",""level7"":"""",""level8"":""""}"
"263","215","Other","{""id"":""263"",""ordinal"":""6"",""name"":""Other"",""display_name"":"""",""created_at"":""2017-03-22 15:00:40"",""updated_at"":""2019-06-04 17:17:42"",""code"":""apparel & footwear > women's > other"",""parent_id"":""215"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > women's"",""level"":""3"",""leaf"":""true"",""expected_variant_count"":""5"",""level1"":""1"",""level2"":""215"",""level3"":""263"",""level4"":"""",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"2492","2488","Other","{""id"":""2492"",""ordinal"":""4"",""name"":""Other"",""display_name"":"""",""created_at"":""2017-03-22 15:00:54"",""updated_at"":""2019-06-04 17:18:08"",""code"":""jewellery & accessories > women's > accessories > wallets & cardholders > other"",""parent_id"":""2488"",""logistic_class_code"":""SLW"",""parent_code"":""jewellery & accessories > women's > accessories > wallets & cardholders"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2267"",""level2"":""2461"",""level3"":""2462"",""level4"":""2488"",""level5"":""2492"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4171","4085","Long Sleeve Tops","{""id"":""4171"",""ordinal"":""3"",""name"":""Long Sleeve Tops"",""display_name"":"""",""created_at"":""2018-10-02 17:09:03"",""updated_at"":""2019-06-04 17:18:35"",""code"":""sports & outdoors > apparel > boys > training > long sleeve tops"",""parent_id"":""4085"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > boys > training"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""4077"",""level4"":""4085"",""level5"":""4171"",""level6"":"""",""level7"":"""",""level8"":""""}"
"258","254","Other","{""id"":""258"",""ordinal"":""4"",""name"":""Other"",""display_name"":"""",""created_at"":""2017-03-22 15:00:40"",""updated_at"":""2019-06-04 17:17:42"",""code"":""apparel & footwear > women's > lingerie, sleepwear & loungewear > other"",""parent_id"":""254"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > women's > lingerie, sleepwear & loungewear"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":""4"",""level1"":""1"",""level2"":""215"",""level3"":""254"",""level4"":""258"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"3856","3779","Long Sleeve Tops","{""id"":""3856"",""ordinal"":""4"",""name"":""Long Sleeve Tops"",""display_name"":"""",""created_at"":""2017-10-19 15:54:06"",""updated_at"":""2019-06-04 17:18:29"",""code"":""sports & outdoors > apparel > womens > soccer > long sleeve tops"",""parent_id"":""3779"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > womens > soccer"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3769"",""level4"":""3779"",""level5"":""3856"",""level6"":"""",""level7"":"""",""level8"":""""}"
"3882","3783","Pants","{""id"":""3882"",""ordinal"":""4"",""name"":""Pants"",""display_name"":"""",""created_at"":""2017-10-19 16:17:26"",""updated_at"":""2019-06-04 17:18:29"",""code"":""sports & outdoors > apparel > mens > afl > pants"",""parent_id"":""3783"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > mens > afl"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3770"",""level4"":""3783"",""level5"":""3882"",""level6"":"""",""level7"":"""",""level8"":""""}"
"3918","3788","Shorts","{""id"":""3918"",""ordinal"":""5"",""name"":""Shorts"",""display_name"":"""",""created_at"":""2017-10-19 16:58:23"",""updated_at"":""2019-06-04 17:18:29"",""code"":""sports & outdoors > apparel > mens > soccer > shorts"",""parent_id"":""3788"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > mens > soccer"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3770"",""level4"":""3788"",""level5"":""3918"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4184","4094","Coats & Jackets","{""id"":""4184"",""ordinal"":""1"",""name"":""Coats & Jackets"",""display_name"":"""",""created_at"":""2018-10-02 17:11:32"",""updated_at"":""2019-06-04 17:18:35"",""code"":""sports & outdoors > apparel > girls > fishing > coats & jackets"",""parent_id"":""4094"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > girls > fishing"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""4078"",""level4"":""4094"",""level5"":""4184"",""level6"":"""",""level7"":"""",""level8"":""""}"
